"SA2Code","SA2Name","Pop","Score","Team_Member","n","combined_quantity","avg_trips_per_stop","index"
112031254,"Tweed Heads",19417,933,"Eric",3,158677,52892.3333333333,2.72402190520334
301011001,"Alexandra Hills",16345,987,"Charlie",113,231473,2048.43362831858,0.125324786070271
301011002,"Belmont - Gumdale",7375,1093,"Steff",47,125180,2663.40425531915,0.361139560043274
301011003,"Birkdale",14923,1034,"Dave",57,446086,7826.0701754386,0.524430086138082
301011004,"Capalaba",17588,991,"Charlie",120,684247,5702.05833333333,0.324201633689637
301011005,"Thorneside",3761,983,"Charlie",25,159068,6362.72,1.69176282903483
301011006,"Wellington Point",11576,1062,"Kate",39,274407,7036.07692307692,0.607815905587156
301021007,"Cleveland",14801,1009,"Charlie",85,1028748,12102.9176470588,0.817709455243485
301021008,"Ormiston",5793,1067,"Kate",25,251643,10065.72,1.73756602796478
301021009,"Redland Bay",15586,1033,"Dave",51,152777,2995.62745098039,0.192199887782651
301021011,"Sheldon - Mount Cotton",7909,1088,"Steff",21,34824,1658.28571428571,0.209670718711053
301021012,"Thornlands",14694,1067,"Kate",72,155043,2153.375,0.146547910711855
301021013,"Victoria Point",15020,1004,"Charlie",68,555912,8175.17647058824,0.544286049972586
301021527,"Redland Islands",9016,852,"Eric",4,1001396,250349,27.7671916592724
301031015,"Manly - Lota",7426,1050,"Kate",41,607791,14824.1707317073,1.99625245511814
301031016,"Manly West",11425,1037,"Dave",48,194774,4057.79166666667,0.35516776075857
301031017,"Murarrie",4118,1066,"Kate",15,341947,22796.4666666667,5.53581026388214
301031018,"Tingalpa",8708,1026,"Dave",44,215901,4906.84090909091,0.563486553639287
301031019,"Wakerley",8997,1136,"Steff",24,116065,4836.04166666667,0.53751713534141
301031020,"Wynnum",13233,1019,"Dave",74,861799,11645.9324324324,0.880067439917814
301031021,"Wynnum West - Hemmant",14790,984,"Charlie",77,602945,7830.45454545455,0.529442498002336
302011022,"Bald Hills",7275,1013,"Dave",31,480604,15503.3548387097,2.13104533865425
302011023,"Bridgeman Downs",8142,1126,"Steff",18,127345,7074.72222222222,0.868917001009853
302011024,"Carseldine",9037,1058,"Kate",35,359776,10279.3142857143,1.13746976714776
302011025,"Everton Park",8798,1047,"Kate",50,319644,6392.88,0.726628779268016
302011026,"McDowall",7541,1096,"Steff",25,175792,7031.68,0.93245988595677
302021027,"Aspley",12318,1047,"Kate",66,615596,9327.21212121212,0.757201828317269
302021028,"Chermside",9313,975,"Charlie",72,1747255,24267.4305555556,2.60575867664078
302021029,"Chermside West",6252,1054,"Kate",32,344755,10773.59375,1.72322356845809
302021030,"Geebung",4324,1041,"Kate",37,375028,10135.8918918919,2.34410080756057
302021031,"Kedron - Gordon Park",13712,1075,"Kate",79,641900,8125.3164556962,0.592569753186713
302021032,"Stafford",6508,1013,"Dave",67,642676,9592.17910447761,1.47390582428974
302021033,"Stafford Heights",6856,1031,"Dave",38,239196,6294.63157894737,0.918120125284039
302021034,"Wavell Heights",9786,1089,"Steff",76,265173,3489.11842105263,0.356541837426184
302031035,"Boondall",9217,1009,"Charlie",41,631607,15405.0487804878,1.67137341656589
302031036,"Brisbane Airport",196,1134,"Steff",21,619106,29481.2380952381,150.414480077745
302031037,"Eagle Farm - Pinkenba",822,1063,"Kate",45,136029,3022.86666666667,3.67745336577453
302031038,"Northgate - Virginia",6586,1049,"Kate",50,1294001,25880.02,3.92955056179775
302031039,"Nudgee - Banyo",9620,1038,"Dave",56,543103,9698.26785714286,1.00813595188595
302031040,"Nundah",12230,1041,"Kate",74,2608331,35247.7162162162,2.88207000950255
302041041,"Bracken Ridge",16936,1014,"Dave",76,539199,7094.72368421053,0.4189137744574
302041042,"Brighton (Qld)",9479,1024,"Dave",56,165782,2960.39285714286,0.312310671710397
302041043,"Deagon",3675,970,"Charlie",24,416821,17367.5416666667,4.72586167800454
302041044,"Sandgate - Shorncliffe",6783,1039,"Dave",45,1555489,34566.4222222222,5.09603747931921
302041045,"Taigum - Fitzgibbon",12153,1000,"Charlie",33,877274,26584.0606060606,2.18744841652766
302041046,"Zillmere",8967,938,"Eric",57,899605,15782.5438596491,1.7600695728392
303011047,"Camp Hill",11177,1122,"Steff",46,686251,14918.5,1.33474993289792
303011048,"Cannon Hill",5720,1071,"Kate",49,969938,19794.6530612245,3.46060368203225
303011049,"Carina",11025,1057,"Kate",34,530708,15609.0588235294,1.41578764839269
303011050,"Carina Heights",6544,1030,"Dave",51,429870,8428.82352941176,1.28802315547246
303011051,"Carindale",15710,1105,"Steff",81,2603679,32144.1851851852,2.04609708371643
303021052,"Annerley",11385,1056,"Kate",52,947144,18214.3076923077,1.5998513563731
303021053,"Coorparoo",16040,1096,"Steff",73,1771039,24260.8082191781,1.51251921565948
303021054,"Fairfield - Dutton Park",4790,1064,"Kate",48,2059015,42896.1458333333,8.9553540361865
303021055,"Greenslopes",9121,1069,"Kate",60,1924416,32073.6,3.51645652888938
303021056,"Holland Park",8305,1057,"Kate",49,554053,11307.2040816327,1.36149356792687
303021057,"Holland Park West",6338,1086,"Steff",31,957751,30895.1935483871,4.87459664695284
303021058,"Woolloongabba",5529,1051,"Kate",44,5866994,133340.772727273,24.1166165178645
303021059,"Yeronga",9490,1090,"Steff",95,951596,10016.8,1.05551106427819
303031060,"Eight Mile Plains",15159,1054,"Kate",47,906394,19284.9787234043,1.27218013875614
303031061,"Macgregor (Qld)",5849,1019,"Dave",36,1091096,30308.2222222222,5.18177846165536
303031062,"Mansfield (Qld)",8722,1038,"Dave",47,432235,9196.48936170213,1.05440144023184
303031063,"Mount Gravatt",14944,1038,"Dave",88,1838808,20895.5454545455,1.39825652131594
303031064,"Rochedale - Burbank",6323,1125,"Steff",57,1241606,21782.5614035088,3.44497254523308
303031065,"Upper Mount Gravatt",9396,1016,"Dave",88,6529543,74199.3522727273,7.89690850071597
303031066,"Wishart",10815,1060,"Kate",46,414898,9019.52173913043,0.833982592614927
303041067,"Coopers Plains",5487,978,"Charlie",43,778808,18111.8139534884,3.30085911308336
303041068,"Moorooka",10422,1039,"Dave",78,875396,11223.0256410256,1.07685910967431
303041069,"Robertson",5101,1038,"Dave",14,925162,66083,12.9549108018036
303041070,"Salisbury - Nathan",7183,1033,"Dave",52,1258533,24202.5576923077,3.36942192570064
303041071,"Tarragindi",10670,1110,"Steff",91,515286,5662.48351648352,0.530691988423947
303051072,"Algester",8433,1003,"Charlie",32,361874,11308.5625,1.34098926835053
303051073,"Calamvale - Stretton",21249,1056,"Kate",50,883985,17679.7,0.832025036472305
303051074,"Pallara - Willawong",4702,1061,"Kate",17,88171,5186.52941176471,1.10304751419921
303051075,"Parkinson - Drewvale",15585,1064,"Kate",27,427438,15831.037037037,1.01578678453879
303051076,"Rocklea - Acacia Ridge",9561,891,"Eric",94,731092,7777.57446808511,0.813468723782565
303061077,"Kuraby",8378,1046,"Kate",21,279295,13299.7619047619,1.58746262888063
303061078,"Runcorn",14479,1007,"Charlie",48,1167538,24323.7083333333,1.67993012869213
303061079,"Sunnybank",8856,997,"Charlie",53,1564403,29517.0377358491,3.3329988409947
303061080,"Sunnybank Hills",18085,1015,"Dave",63,1502324,23846.4126984127,1.31857410552462
304011081,"Jindalee - Mount Ommaney",7514,1095,"Steff",23,587779,25555.6086956522,3.40106583652544
304011082,"Middle Park - Jamboree Heights",7062,1065,"Kate",20,172212,8610.6,1.21928632115548
304011083,"Riverhills",4042,1049,"Kate",9,93523,10391.4444444444,2.57086700753203
304011084,"Seventeen Mile Rocks - Sinnamon Park",9556,1109,"Steff",48,162285,3380.9375,0.353802584763499
304011085,"Westlake",4352,1123,"Steff",8,87137,10892.125,2.50278607536765
304021086,"Bellbowrie - Moggill",10103,1106,"Steff",14,364994,26071,2.58052063743443
304021087,"Brookfield - Kenmore Hills",6748,1146,"Steff",33,93934,2846.48484848485,0.421826444648021
304021088,"Chapel Hill",10311,1140,"Steff",47,463542,9862.59574468085,0.956512049721739
304021089,"Fig Tree Pocket",4045,1170,"Steff",25,200169,8006.76,1.97942150803461
304021090,"Kenmore",8765,1119,"Steff",54,659433,12211.7222222222,1.39323699055587
304021091,"Pinjarra Hills - Pullenvale",5398,1161,"Steff",8,100922,12615.25,2.33702297147091
304031092,"Chelmer - Graceville",7411,1145,"Steff",31,679439,21917.3870967742,2.95741291280181
304031093,"Corinda",4863,1082,"Steff",19,178125,9375,1.92782233189389
304031094,"Indooroopilly",12134,1097,"Steff",83,3978202,47930.1445783133,3.95006960427833
304031095,"Sherwood",5642,1098,"Steff",19,422200,22221.0526315789,3.93850631541633
304031096,"St Lucia",12574,1096,"Steff",56,7583885,135426.517857143,10.7703608920903
304031097,"Taringa",8451,1100,"Steff",67,1226983,18313.1791044776,2.16698368293428
304041098,"Enoggera",8158,1053,"Kate",45,1015920,22576,2.76734493748468
304041100,"Keperra",7084,990,"Charlie",56,583881,10426.4464285714,1.47183038235057
304041101,"Mitchelton",8362,1068,"Kate",52,1472325,28313.9423076923,3.38602515040568
304041103,"The Gap",16477,1114,"Steff",73,897360,12292.602739726,0.746046169795838
304041104,"Upper Kedron - Ferny Grove",9907,1090,"Steff",26,1313507,50519.5,5.09937417987282
305011105,"Brisbane City",10192,1083,"Steff",161,51358219,318995.149068323,31.2985821299375
305011106,"Fortitude Valley",7146,1064,"Kate",45,8332558,185167.955555556,25.9121124483005
305011107,"Highgate Hill",6329,1058,"Kate",21,437362,20826.7619047619,3.29068761332942
305011108,"Kangaroo Point",8214,1085,"Steff",20,484580,24229,2.94971999026053
305011109,"New Farm",12791,1099,"Steff",60,1781469,29691.15,2.32125322492377
305011110,"South Brisbane",7235,1082,"Steff",46,20568376,447138.608695652,61.8021573870977
305011111,"Spring Hill",6063,1028,"Dave",38,282986,7447,1.2282698334158
305011112,"West End",9620,1084,"Steff",63,2540571,40326.5238095238,4.19194634194634
305021113,"Balmoral",4228,1119,"Steff",20,175796,8789.8,2.07894985808893
305021114,"Bulimba",6704,1145,"Steff",39,911213,23364.4358974359,3.48514855272015
305021115,"East Brisbane",5786,1084,"Steff",27,848794,31436.8148148148,5.43325523933889
305021116,"Hawthorne",4971,1146,"Steff",28,489113,17468.3214285714,3.51404575107049
305021117,"Morningside - Seven Hills",12612,1088,"Steff",71,1134410,15977.6056338028,1.26685740832563
305021118,"Norman Park",6298,1136,"Steff",34,568807,16729.6176470588,2.6563381465638
305031119,"Albion",2791,1094,"Steff",24,952783,39699.2916666667,14.2240385763764
305031120,"Alderley",5999,1106,"Steff",45,682508,15166.8444444444,2.52822877887055
305031121,"Ascot",5145,1109,"Steff",42,347190,8266.42857142857,1.60669165625434
305031122,"Clayfield",10473,1087,"Steff",49,1378860,28140,2.68690919507304
305031123,"Grange",4248,1136,"Steff",28,140659,5023.53571428571,1.18256490449287
305031124,"Hamilton (Qld)",6290,1109,"Steff",29,734984,25344.275862069,4.02929663943863
305031125,"Hendra",4659,1125,"Steff",38,177459,4669.97368421053,1.00235537330125
305031126,"Kelvin Grove - Herston",10081,1067,"Kate",53,5418678,102239.20754717,10.1417723982908
305031127,"Newmarket",4979,1082,"Steff",18,840195,46677.5,9.3748744727857
305031128,"Newstead - Bowen Hills",10638,1132,"Steff",43,3453369,80310.9069767442,7.54943664003987
305031129,"Wilston",3934,1132,"Steff",28,395985,14142.3214285714,3.59489614351079
305031130,"Windsor",7190,1091,"Steff",36,1077326,29925.7222222222,4.16213104620615
305031131,"Wooloowin - Lutwyche",9745,1080,"Kate",55,1740531,31646.0181818182,3.24741079341387
305041132,"Ashgrove",13315,1135,"Steff",83,997663,12020.0361445783,0.902743983821128
305041133,"Auchenflower",5499,1127,"Steff",22,1055414,47973.3636363636,8.72401593678189
305041134,"Bardon",9716,1148,"Steff",96,543659,5663.11458333333,0.582864819198573
305041135,"Paddington - Milton",10788,1137,"Steff",76,2628737,34588.6447368421,3.2062147512831
305041136,"Red Hill (Qld)",5744,1116,"Steff",42,329622,7848.14285714286,1.36632013529646
305041137,"Toowong",10800,1112,"Steff",64,3722249,58160.140625,5.38519820601852
309011224,"Broadbeach Waters",7779,1067,"Kate",33,347705,10536.5151515152,1.35448195802997
309011225,"Burleigh Heads",8770,1023,"Dave",21,605653,28840.619047619,3.2885540533203
309011226,"Burleigh Waters",14156,1021,"Dave",55,162111,2947.47272727273,0.208213671042154
309011227,"Mermaid Beach - Broadbeach",11921,1022,"Dave",30,5388425,179614.166666667,15.067038559405
309011228,"Mermaid Waters",12170,1020,"Dave",49,142049,2898.95918367347,0.23820535609478
309011229,"Miami",6843,1022,"Dave",23,333588,14503.8260869565,2.11951279949679
309021230,"Coolangatta",5948,963,"Charlie",12,353470,29455.8333333333,4.95222483748039
309021231,"Currumbin - Tugun",11316,1001,"Charlie",63,682526,10833.746031746,0.957383000331039
309021232,"Currumbin Waters",9121,994,"Charlie",34,22288,655.529411764706,0.071870344453975
309021233,"Elanora",12145,1010,"Charlie",46,37301,810.891304347826,0.0667675013872232
309021234,"Palm Beach",14654,996,"Charlie",44,523184,11890.5454545455,0.811419779892552
309031235,"Arundel",10246,1010,"Dave",28,161328,5761.71428571429,0.562337915841722
309031236,"Biggera Waters",8534,976,"Charlie",23,711422,30931.3913043478,3.62448925525519
309031237,"Coombabah",10388,930,"Eric",29,104098,3589.58620689655,0.345551232854886
309031238,"Labrador",18261,925,"Eric",72,463111,6432.09722222222,0.35223137956422
309031239,"Paradise Point - Hollywell",9399,1051,"Kate",24,70225,2926.04166666667,0.31131414689506
309031240,"Runaway Bay",9068,1023,"Dave",35,178479,5099.4,0.562351124834583
309051244,"Mudgeeraba - Bonogin",18263,1040,"Dave",33,62634,1898,0.103925970541532
309051245,"Reedy Creek - Andrews",7976,1061,"Kate",22,21073,957.863636363636,0.120093234248199
309061246,"Carrara",12189,1006,"Charlie",30,118957,3965.23333333333,0.325312440178303
309061247,"Highland Park",8368,984,"Charlie",23,49006,2130.69565217391,0.254624241416577
309061248,"Nerang - Mount Nathan",20529,962,"Charlie",65,1564728,24072.7384615385,1.17262109511123
309061249,"Pacific Pines - Gaven",18320,1019,"Dave",57,118771,2083.70175438596,0.113739178732858
309061250,"Worongary - Tallai",7884,1052,"Kate",12,10586,882.166666666667,0.111893285980044
309071251,"Coomera",13305,1016,"Dave",34,792118,23297.5882352941,1.75104007781241
309071252,"Helensvale",16862,1035,"Dave",67,1515128,22613.8507462687,1.34111319809445
309071253,"Hope Island",11232,1080,"Kate",14,30756,2196.85714285714,0.195589133089133
309071255,"Ormeau - Yatala",19674,1030,"Dave",76,37024,487.157894736842,0.0247615073059287
309071256,"Oxenford - Maudsland",15795,1017,"Dave",44,336981,7658.65909090909,0.484878701545368
309071257,"Pimpama",9167,977,"Charlie",12,250085,20840.4166666667,2.2734173302789
309071258,"Upper Coomera - Willow Vale",31214,1012,"Dave",52,105123,2021.59615384615,0.0647656869944946
309081259,"Clear Island Waters",4120,1073,"Kate",3,35445,11815,2.86771844660194
309081260,"Merrimac",7071,983,"Charlie",19,68171,3587.94736842105,0.507417249104943
309081261,"Robina",23106,1039,"Dave",83,1554695,18731.265060241,0.810666712552625
309081262,"Varsity Lakes",15183,1008,"Charlie",43,1064834,24763.5813953488,1.63100713925765
309091263,"Ashmore",11910,1006,"Charlie",52,202333,3891.01923076923,0.326701866563328
309091264,"Molendinar",6375,1003,"Charlie",27,98916,3663.55555555556,0.574675381263617
309091265,"Parkwood",8702,1027,"Dave",37,117513,3176.02702702703,0.364976675135259
309091540,"Southport - North",14697,939,"Eric",74,7145876,96565.8918918919,6.57044919996543
309091541,"Southport - South",17208,978,"Charlie",53,184997,3490.50943396226,0.202842249765357
309101267,"Benowa",8741,1064,"Kate",17,109393,6434.88235294118,0.736172331877494
309101268,"Bundall",4523,1077,"Kate",9,60854,6761.55555555556,1.4949271624045
309101269,"Main Beach",3883,1064,"Kate",19,643609,33874.1578947368,8.72370793065589
309101270,"Surfers Paradise",23689,983,"Charlie",46,6057787,131691.02173913,5.55916339816499
310011271,"Darra - Sumner",4932,959,"Charlie",30,1030495,34349.8333333333,6.9646864017302
310011272,"Durack",7948,932,"Eric",29,280079,9657.89655172414,1.21513544938653
310011273,"Forest Lake - Doolandella",27709,1013,"Dave",50,763490,15269.8,0.551077267313869
310011274,"Inala - Richlands",18010,798,"Eric",106,1620684,15289.4716981132,0.848943459084576
310011275,"Oxley (Qld)",7815,1051,"Kate",42,999546,23798.7142857143,3.04526094506901
310011276,"Wacol",5816,793,"Eric",31,431344,13914.3225806452,2.39242135155522
310021278,"Esk",5158,908,"Eric",5,831,166.2,0.0322217913920124
310021280,"Lockyer Valley - East",19814,917,"Eric",10,27137,2713.7,0.136958716059352
310021281,"Lowood",14052,918,"Eric",12,8043,670.25,0.0476978366068887
310021282,"Rosewood",11806,952,"Eric",21,141519,6739,0.570811451804167
310031283,"Brassall",10898,928,"Eric",33,90613,2745.84848484848,0.251958936029408
310031284,"Bundamba",8917,902,"Eric",54,515109,9539.05555555555,1.0697606320013
310031285,"Churchill - Yamanto",6768,959,"Charlie",31,63307,2042.16129032258,0.301737779302982
310031286,"Ipswich - Central",6558,933,"Eric",51,931752,18269.6470588235,2.78585652010118
310031287,"Ipswich - East",17894,906,"Eric",99,612812,6190.0202020202,0.345927137700917
310031288,"Ipswich - North",4644,1033,"Dave",6,142,23.6666666666667,0.0050961814527706
310031291,"Leichhardt - One Mile",7654,843,"Eric",33,88507,2682.0303030303,0.350408976094892
310031292,"North Ipswich - Tivoli",6394,905,"Eric",65,192033,2954.35384615385,0.462050961237699
310031293,"Raceview",15176,948,"Eric",47,100882,2146.42553191489,0.141435525297502
310031295,"Riverview",3073,798,"Eric",26,113872,4379.69230769231,1.42521715186863
310041296,"Bellbird Park - Brookwater",13763,1041,"Kate",29,804157,27729.5517241379,2.014789778692
310041297,"Camira - Gailes",9238,954,"Eric",24,51055,2127.29166666667,0.230276214187775
310041299,"Collingwood Park - Redbank",8517,938,"Eric",26,514299,19780.7307692308,2.32249979678652
310041300,"Goodna",10884,868,"Eric",34,586909,17262.0294117647,1.58600049722204
310041302,"Redbank Plains",19299,906,"Eric",42,120032,2857.90476190476,0.148085639769147
310041303,"Springfield",6772,1005,"Charlie",21,345105,16433.5714285714,2.42669394987765
310041304,"Springfield Lakes",15429,1046,"Kate",51,200296,3927.37254901961,0.25454485378311
311011305,"Beaudesert",13915,913,"Eric",9,18751,2083.44444444444,0.149726514153392
311021306,"Beenleigh",8252,855,"Eric",45,959611,21324.6888888889,2.58418430548823
311021307,"Eagleby",13326,849,"Eric",47,115608,2459.74468085106,0.184582371368082
311021308,"Edens Landing - Holmview",7450,955,"Charlie",25,92964,3718.56,0.499135570469799
311021309,"Mount Warren Park",5791,951,"Eric",25,41699,1667.96,0.288026247625626
311021310,"Wolffdene - Bahrs Scrub",6105,1022,"Dave",12,17149,1429.08333333333,0.234084084084084
311031311,"Boronia Heights - Park Ridge",12237,923,"Eric",61,138169,2265.06557377049,0.185099744526476
311031312,"Browns Plains",7368,914,"Eric",28,1013661,36202.1785714286,4.91343357375523
311031314,"Crestmead",11989,882,"Eric",33,157319,4767.24242424242,0.397634700495656
311031316,"Hillcrest",8152,978,"Charlie",26,200673,7718.19230769231,0.946785121159508
311031317,"Marsden",14447,873,"Eric",46,253868,5518.86956521739,0.382007999253644
311031318,"Munruben - Park Ridge South",4617,1013,"Dave",4,5580,1395,0.302144249512671
311031319,"Regents Park - Heritage Park",15934,977,"Charlie",66,131126,1986.75757575758,0.124686681044156
311041320,"Greenbank",12852,1028,"Dave",4,2072,518,0.0403050108932462
311041321,"Jimboomba",25744,997,"Charlie",8,16827,2103.375,0.0817035037290242
311051323,"Bethania - Waterford",10870,931,"Eric",31,134908,4351.87096774194,0.400356114787667
311051324,"Cornubia - Carbrook",8455,1063,"Kate",14,32010,2286.42857142857,0.270423249134071
311051325,"Loganholme - Tanah Merah",11130,995,"Charlie",35,105894,3025.54285714286,0.271836734693878
311051326,"Loganlea",10434,898,"Eric",49,994353,20292.9183673469,1.94488387649482
311051327,"Shailer Park",11647,1052,"Kate",59,1173953,19897.5084745763,1.70838056792103
311051328,"Waterford West",7244,885,"Eric",25,157422,6296.88,0.869254555494202
311061329,"Daisy Hill",6638,1040,"Kate",30,140856,4695.2,0.707321482374209
311061330,"Kingston (Qld.)",10413,822,"Eric",55,324738,5904.32727272727,0.567015007464446
311061331,"Logan Central",6133,773,"Eric",33,747416,22648.9696969697,3.69296750317458
311061332,"Rochedale South - Priestdale",15452,1026,"Dave",79,217786,2756.78481012658,0.178409578703506
311061333,"Slacks Creek",10432,882,"Eric",57,206243,3618.29824561404,0.346846074157787
311061334,"Springwood",9279,1020,"Dave",49,952761,19444.1020408163,2.09549542416385
311061335,"Underwood",6341,1036,"Dave",21,115717,5510.33333333333,0.869000683383273
311061336,"Woodridge",12579,796,"Eric",63,292910,4649.36507936508,0.36961325060538
313011362,"Beachmere - Sandstone Point",14892,931,"Eric",87,69804,802.344827586207,0.0538775737030759
313011363,"Bribie Island",18142,925,"Eric",98,241119,2460.39795918367,0.135618893131059
313021365,"Caboolture",26827,886,"Eric",76,1367011,17986.9868421053,0.670480741122946
313021366,"Caboolture - South",20349,880,"Eric",73,789014,10808.4109589041,0.531151946479144
313021367,"Elimbah",3963,1004,"Charlie",2,24489,12244.5,3.08970476911431
313021368,"Morayfield - East",8434,914,"Eric",17,50381,2963.58823529412,0.351385847201105
313041372,"Burpengary",14022,972,"Charlie",21,511619,24362.8095238095,1.73747036969117
313041373,"Deception Bay",22446,889,"Eric",58,408238,7038.58620689655,0.313578642381562
313041375,"Narangba",18573,1027,"Dave",32,586905,18340.78125,0.987496971410112
313051377,"Clontarf",8251,948,"Eric",35,131400,3754.28571428571,0.455009782364042
313051378,"Margate - Woody Point",11696,931,"Eric",49,263207,5371.57142857143,0.459265683017393
313051379,"Redcliffe",10164,921,"Eric",53,485351,9157.56603773585,0.900980523193216
313051380,"Rothwell - Kippa-Ring",17138,922,"Eric",64,689983,10780.984375,0.62906899142257
313051542,"Scarborough - Newport - Moreton Island",12226,1016,"Dave",56,191947,3427.625,0.280355390152135
314011382,"Albany Creek",15800,1075,"Kate",51,285384,5595.76470588235,0.354162323157111
314011383,"Cashmere",18805,1081,"Kate",25,66493,2659.72,0.14143685190109
314011385,"Eatons Hill",7973,1114,"Steff",14,103309,7379.21428571429,0.925525434054219
314011386,"The Hills District",23369,1073,"Kate",92,165899,1803.25,0.0771641918781291
314011387,"Samford Valley",11754,1130,"Steff",16,5539,346.1875,0.0294527394929386
314021388,"Dakabin - Kallangur",23932,940,"Eric",68,630742,9275.61764705882,0.387582218245814
314021389,"Murrumba Downs - Griffin",17520,1023,"Dave",38,133547,3514.39473684211,0.20059330689738
314021390,"North Lakes - Mango Hill",30105,1041,"Kate",69,632073,9160.47826086957,0.304284280380985
314031391,"Bray Park",10246,970,"Charlie",60,130979,2182.98333333333,0.213057127984905
314031392,"Lawnton",6011,944,"Eric",50,391054,7821.08,1.30112793212444
314031393,"Petrie",8690,1001,"Charlie",25,1158756,46350.24,5.33374453394707
314031394,"Strathpine - Brendale",12270,938,"Eric",68,1321150,19428.6764705882,1.58342921520686
316011413,"Buderim - North",16615,1035,"Dave",50,147269,2945.38,0.177272344267228
316011414,"Buderim - South",16323,1054,"Kate",36,129184,3588.44444444444,0.219839762570878
316011415,"Mountain Creek",11254,1029,"Dave",31,131594,4244.96774193548,0.377196351691442
316011416,"Sippy Downs",10298,985,"Charlie",31,290214,9361.74193548387,0.909083505096511
316021417,"Aroona - Currimundi",10071,975,"Charlie",37,124895,3375.54054054054,0.33517431640756
316021418,"Buddina - Minyama",6433,1016,"Dave",6,213869,35644.8333333333,5.54093476345925
316021419,"Caloundra - Kings Beach",6699,919,"Eric",28,358128,12790.2857142857,1.90928283539121
316021420,"Caloundra - West",20277,993,"Charlie",42,66843,1591.5,0.0784879420032549
316021421,"Golden Beach - Pelican Waters",11854,1004,"Charlie",36,42778,1188.27777777778,0.10024276849821
316021422,"Moffat Beach - Battery Hill",7838,993,"Charlie",29,130750,4508.62068965517,0.575225910902676
316021423,"Parrearra - Warana",9502,1013,"Dave",26,252936,9728.30769230769,1.02381684827486
316021424,"Wurtulla - Birtinya",7838,1012,"Dave",20,94860,4743,0.605128859402909
316031425,"Coolum Beach",14589,1010,"Dave",40,198441,4961.025,0.340052436767427
316031426,"Marcoola - Mudjimba",10868,996,"Charlie",39,131715,3377.30769230769,0.310757056708474
316031427,"Maroochydore - Kuluin",19163,967,"Charlie",55,1119536,20355.2,1.06221364087043
316031428,"Mooloolaba - Alexandra Headland",11694,1008,"Charlie",47,480765,10229.0425531915,0.874725718590003
316051434,"Noosa Heads",4484,1055,"Kate",21,497599,23695.1904761905,5.28438681449386
316051435,"Noosaville",8735,1014,"Dave",58,264020,4552.06896551724,0.521129818605294
316051437,"Sunshine Beach",6534,1036,"Dave",31,160112,5164.90322580645,0.790465752342585
316051438,"Tewantin",10308,957,"Charlie",55,204940,3726.18181818182,0.36148446043673
316051543,"Peregian Beach - Marcus Beach",3761,1041,"Kate",14,71938,5138.42857142857,1.36623998176777
316051544,"Peregian Springs",7337,1056,"Kate",13,31137,2395.15384615385,0.326448663779998
316061439,"Beerwah",8201,957,"Charlie",3,83881,27960.3333333333,3.40938096980043
316061441,"Glass House Mountains",5838,989,"Charlie",4,59144,14786,2.53271668379582
316061442,"Landsborough",10142,991,"Charlie",9,444376,49375.1111111111,4.86838011349942
316061444,"Palmwoods",10613,1022,"Dave",14,44285,3163.21428571429,0.298050907916168
316071545,"Bli Bli",8351,998,"Charlie",14,38712,2765.14285714286,0.331115178678345
316071546,"Diddillibah - Rosemount",3764,1020,"Dave",6,9102,1517,0.403028692879915
316071547,"Eumundi - Yandina",10548,1003,"Charlie",15,54715,3647.66666666667,0.345815952471243
316071548,"Nambour",19962,936,"Eric",64,427721,6683.140625,0.334793138212604
316081549,"Noosa Hinterland",21852,994,"Charlie",25,61330,2453.2,0.112264323631704
317011448,"Gatton",7434,899,"Eric",8,36283,4535.375,0.61008541834813
317011451,"Lockyer Valley - West",11362,979,"Charlie",3,368,122.666666666667,0.0107962213225371
319031512,"Gympie - North",14220,870,"Eric",1,14222,14222,1.00014064697609
319031514,"Gympie Region",18564,935,"Eric",1,152,152,0.00818789054083172
